"","jurisdiction","year","state_population","murder_index","rape_index","robbery_index","agg_assault_index","total_violent_index","burglary_index","larceny_index","vehicle_theft_index","property_crime_index","crime_rate"
"108","CALIFORNIA",2003,35462712,6.78741095717665,28.1817137956059,179.822682484069,364.833913435611,579.625720672463,683.179560547992,2062.6905240637,680.506330141925,3426.37641475362,4006.00213542608
"109","COLORADO",2003,4547633,4.06805034619108,42.0658395257489,82.1966064543907,218.157445862496,346.487942188827,712.326610348724,2737.59997783462,501.71154972268,3951.63813790603,4298.12608009485
"110","CONNECTICUT",2003,3486960,3.21196687085599,20.0174363915846,120.792896964691,172.729254135407,316.751554362539,460.085575974488,1880.37717668112,326.071993943148,2666.53474659876,2983.2863009613
"111","DELAWARE",2003,818166,2.56671628984827,45.2230965354219,176.125627317684,451.375393257603,675.290833400557,741.414334010458,2314.07807217606,359.829178919681,3415.3215851062,4090.61241850676
"112","FLORIDA",2003,16999181,5.43555598355003,39.5724946984211,185.438345529705,500.647648848495,731.094045060171,1003.83659659839,2973.60796381896,479.805468275207,4457.25002869256,5188.34407375273
"113","GEORGIA",2003,8676460,7.57221263049677,25.7478280312478,161.851722937696,259.333875797272,454.505639396713,910.521111144407,2849.04212086496,500.111796746599,4259.67502875597,4714.18066815268
"114","HAWAII",2003,1248755,1.76175470768886,29.3892717146278,93.5331590263903,147.586996648662,272.271182097369,913.629975455554,3588.13378124612,772.849758359326,5274.613515061,5546.88469715837
"115","IDAHO",2003,1367034,1.90192782330213,39.1358225179476,17.9220121811162,186.974135244625,245.93389776699,573.284936585337,2162.27248188414,193.557731556055,2929.11515002553,3175.04904779252
"116","ILLINOIS",2003,12649087,7.07560948865321,33.1170146904674,188.045192510732,328.13435467714,556.372171366993,619.372765797247,2339.35461112727,329.138379710725,3287.86575663524,3844.23792800223
"117","INDIANA",2003,6199571,5.45199014576976,27.7438551796568,103.24907965406,215.869775505434,352.314700484921,670.723829116563,2349.93679401365,335.039311591076,3355.69993472129,3708.01463520621
